id;english;dutch
0rnaxwL8;Accounting and Auditing Services;Accounting en Controlling
45Z6mQjO;Advertising and PR Services;Reclame, PR en communicatie
YwjJMngm;Aerospace and Defence;Ruimtevaart / Defensie
O0jR8LVX;Agriculture/Forestry/Fishing;Landbouw / Bosbouw / Visserij
BXnGNVL2;Architectural and Design Services;Architectuur / Design
GqZbXn9e;Automotive and Parts Mfg;Autobranche - productie
wXL96On4;Automotive Sales and Repair Services;Autobranche - verkoop en onderhoud
2RLPQrnB;Banking and Consumer Lending;Bankwezen en consumenten leningen
1wLvonJz;Biotechnology/Pharmaceuticals;Biotechnologie / Geneesmiddelen
XAngdj2J;Broadcasting, Music, and Film;TV / Muziek / Film
O0jRa8nV;Business Services - Other;Zakelijke dienstverlening - overig
WgnNMLbP;Chemicals/Petro-Chemicals;Chemische producten / Petrochemische stoffen
ypLxYnlv;Clothing and Textile Manufacturing;Productie - kleding en textiel
pRnm7rZg;Computer Hardware;IT - hardware
dqjEoBL9;Computer/IT Services;IT - diensten
xKLkEbjW;Computer Software;IT - software
7Dn2XZaE;Construction - Industrial Facilities and Infrastructure;Bouw - industrie en infrastructuur
g0nwWenz;Construction - Residential & Commercial/Office;Bouw - woningen en bedrijfspanden
XrnYVwjp;Education;Onderwijs
qOnDlnxa;Electronics, Components, and Semiconductor Mfg;Elektronica, Componenten en Halfgeleider productie
g0nweZzY;Energy and Utilities;Olie / Gas / Energie
7Dn2wXja;Engineering Services;Techniek
YwjJkMZg;Entertainment Venues and Theatres;Entertainment / Events / Theaters
GqZbrXZ9;Financial Services;Financiële dienstverlening
1wLvJoLJ;Food and Beverage Production;Productie - voedsel en drank
vRnpRPZy;Government and Public Sector;Overheid / Publieke sector
vrLOmRj0;Healthcare Services;Gezondheidszorg
ronMNxjV;Hotels and Lodging;Hotels en gastverblijven
4BL3DDn1;Insurance;Verzekeringen
rGj1zZbq;Internet Services;IT - internet
dpjdXEj3;Legal Services;Juridische diensten
J0nzB0nV;Management Consulting Services;Management Consultancy
D6nW0jJN;Manufacturing - Other;Productie - overige
WgnN5MLb;Marine Mfg & Services;Maritiem
wzjBp1LX;Medical Devices and Supplies;Medische apparatuur / Medicijnen
dqjEBZ91;Metals and Minerals;Metaalindustrie
GkLe41Zp;Non profit Charitable Organisations;Non-profit
qOnDKlLx;Other;Overige
9NZq8Yj3;Performing and Fine Arts;Kunst / Kleinkunst
0zjr7vZY;Personal and Household Services;Facilitaire dienstverlening
wzjB1nX4;Personal Care Products and Cosmetics;Cosmetica en persoonlijke verzorging
zgLA2nw9;Printing and Publishing;Drukkerijen / Uitgeverijen
NEZQE8Z9;Real Estate and Property Management;Makelaardij / Vastgoed
OWZ8yMLN;Rental Services;Verhuur
4aL7omL6;Restaurant/Food Services;Horeca
29j0oneR;Retail;Detailhandel
aEnoBaLW;Security and Surveillance;Beveiliging / Bewaking
a7jKa4Lx;Sports and Physical Recreation;Sport / Recreatie
eDjXrOL7;Staffing/Employment Agencies;Uitzendbureaus / Werving & Selectie
5rZl3jmJ;Telecommunications Services;Telecommunicatie
QJL4Mnxv;Transport and Storage - Materials;Transport / Opslag / Distributie
awLygjE9;Travel, Transportation and Tourism;Toerisme, reizen en personenvervoer
9enVDbZW;Waste Management;Afval en milieu
pdj58nql;Wholesale Trade/Import-Export;Groothandel / Import-Export
